,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,94.12,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.62,92.75,92.0,88.88,85.12,87.75,90.0,91.88,93.0,93.0,93.0,93.0,93.0,93.62,94.0,95.25
1,96.62,98.25,97.75,97.0,97.0,98.88,100.0,97.5,94.12,89.88,84.88,79.25,71.38,63.62,59.75,56.5,55.62,54.75,54.62,55.62,54.75,57.12,55.88,54.62
2,56.88,58.0,59.88,63.5,66.25,66.38,63.5,57.0,52.75,50.75,46.25,42.75,43.25,40.25,34.88,32.38,40.75,51.62,54.38,54.0,61.5,66.0,62.25,57.5
3,60.38,70.5,76.88,76.75,81.62,87.5,84.62,80.12,79.0,77.75,74.5,68.62,64.75,65.25,63.5,62.62,70.5,80.0,84.88,88.5,91.88,93.0,93.62,97.75
4,100.0,97.5,94.12,93.0,93.62,95.88,96.38,94.12,92.38,88.88,86.38,79.12,74.38,71.5,69.38,72.12,79.62,91.12,94.75,88.38,80.0,77.0,76.38,76.0
5,73.5,72.0,71.38,67.88,66.0,66.0,65.38,64.38,64.62,58.12,52.12,46.62,44.62,44.38,40.88,37.75,38.25,37.12,37.25,39.88,42.88,42.12,40.38,40.62
6,43.5,45.0,44.38,45.88,45.75,45.0,46.25,44.5,40.5,40.88,40.12,40.88,40.75,39.38,39.0,38.38,41.12,48.62,52.62,53.62,54.0,57.75,60.62,66.62
7,68.75,68.0,65.5,59.0,60.38,66.12,66.12,59.38,47.25,45.75,49.25,51.25,54.5,57.88,60.25,62.25,64.88,67.25,66.12,63.12,61.38,57.25,59.38,63.88
8,71.25,77.5,79.0,79.0,80.88,80.12,78.38,71.12,63.25,61.0,61.0,58.5,55.12,56.5,58.0,59.88,66.62,73.12,76.88,79.25,81.88,84.88,86.0,87.88
9,89.62,93.75,97.88,97.12,96.0,96.0,96.62,95.75,93.12,90.75,88.12,86.38,86.0,82.88,83.5,88.12,93.75,98.5,100.0,100.0,100.0,98.12,97.0,98.88
10,99.38,97.75,96.38,96.0,96.0,94.12,91.75,92.25,89.88,81.75,74.25,68.25,62.88,51.0,35.62,28.75,29.88,34.75,39.5,44.12,47.25,51.12,53.0,57.38
11,65.62,74.0,78.25,77.75,80.12,80.12,80.88,80.12,64.62,44.75,35.5,31.5,30.62,31.62,33.25,34.0,38.38,42.88,47.75,53.12,58.12,66.25,72.5,74.62
12,75.62,80.38,84.25,88.12,94.38,94.5,93.62,95.25,94.75,95.88,96.38,96.0,96.0,94.75,95.25,93.5,92.0,95.12,95.12,95.25,97.25,99.25,95.62,78.0
13,68.38,64.88,59.88,61.75,69.0,73.25,73.38,70.5,61.5,55.12,49.0,43.5,38.25,33.5,32.0,32.62,32.38,37.62,46.62,56.25,66.88,69.12,68.0,66.75
14,69.12,73.5,79.38,80.12,74.0,71.0,70.38,69.38,66.5,61.25,53.38,48.12,37.0,26.0,23.0,24.88,29.12,35.38,41.12,46.75,54.0,54.5,52.38,53.88
15,61.25,66.88,67.38,63.25,66.62,69.38,73.38,74.12,62.38,50.38,42.0,38.38,33.62,29.75,29.62,31.88,34.88,37.88,40.88,43.88,50.0,58.62,66.38,72.12
16,75.88,78.88,81.88,84.88,86.0,84.12,82.38,74.5,62.5,46.75,40.62,36.62,31.5,28.12,22.62,21.25,25.12,27.0,30.12,34.5,35.38,37.5,41.5,41.75
17,44.12,44.75,49.62,54.88,61.62,65.0,71.88,75.38,55.62,32.75,25.38,25.62,27.25,29.25,31.88,38.0,45.38,54.25,60.5,65.12,71.38,74.0,76.5,79.25
18,81.88,83.62,85.25,86.62,88.25,89.0,92.75,92.5,79.12,62.62,54.5,50.5,44.62,38.25,35.38,34.38,35.25,39.12,44.75,50.75,58.0,63.5,73.75,85.88
19,91.25,88.88,88.25,89.0,91.5,93.0,92.38,89.5,81.75,60.5,40.62,35.62,34.12,40.5,51.88,56.62,60.12,70.12,77.5,82.75,88.12,90.0,92.5,95.88
